paper,paper_url,date,year,half_year,primary_level,capability_path,modalities,catalog_subsection,primary_mechanism,controller_type,visual_executor,feedback,evaluation_type,planning,retrieval,tool_use,multi_agent,verification,memory,rl,closed_loop,cross_task_persistence,github,website,open_source
ShareVerse,https://arxiv.org/abs/2603.02697,2026-03,2026,2026-H1,L0,L0,Video;World,,Shared generator state without controller action selection,language or multimodal controller,video generator or editor; world generator or simulator,no deployed controller action demonstrated,"component, data-pipeline, or terminal-artifact evaluation",False,False,False,False,False,False,False,False,False,,,False
AgentComp,https://arxiv.org/abs/2512.09081,2025-12,2025,2025-H2,L0,L0,Image,,Agentic preference-data construction for a fixed generator,language or multimodal controller,image generator,no deployed controller action demonstrated,"component, data-pipeline, or terminal-artifact evaluation",True,False,False,False,False,False,False,False,False,,,False
Gen-n-Val: Agentic Image Data Generation and Validation,https://arxiv.org/abs/2506.04676,2025-06,2025,2025-H1,L0,L0,Image,,Synthetic-data generation and validation pipeline,language or multimodal controller,image generator,no deployed controller action demonstrated,"component, data-pipeline, or terminal-artifact evaluation",False,False,False,False,False,False,False,False,False,https://github.com/aiiu-lab/Gen-n-Val,,True
Presentation Slide Translation and Layout Error Correction by LLMs,https://aclanthology.org/2026.acl-srw.26/,2026-07,2026,2026-H2,L0,L0,Slide;Editing,,Fixed candidate generation and selection,language or multimodal controller,slide renderer or object model; visual editor,no deployed controller action demonstrated,"component, data-pipeline, or terminal-artifact evaluation",True,False,False,False,True,False,False,False,False,,,False
DAC-Pose: Dual-Agent Collaborative Framework for Pose-Guided Human Generation,https://arxiv.org/abs/2608.04622,2026-08,2026,2026-H2,L1,L1,Image,"Prompt, preference, and intent conditioning",Condition construction and planning,multi-role language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,True,False,False,False,False,False,,,False
APE: Agentic Prompt Enhancer for Image Generation and Editing,https://arxiv.org/abs/2606.00204,2026-06,2026,2026-H1,L1,L1,Image;Editing,"Prompt, preference, and intent conditioning",Prompt enhancement,language or multimodal controller,image generator; visual editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,https://research.nvidia.com/labs/sil/projects/ape/,False
ICG: Improving Cover Image Generation via MLLM-based Prompting and Personalized Preference Alignment,https://arxiv.org/abs/2605.27374,2026-05,2026,2026-H1,L1,L1,Image,"Prompt, preference, and intent conditioning",Prompting and preference alignment,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
Agentic Planning with Reasoning for Image Styling via Offline RL,https://arxiv.org/abs/2603.07148,2026-03,2026,2026-H1,L1,L1,Image,"Prompt, preference, and intent conditioning",Condition construction and planning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,True,False,False,,https://huggingface.co/datasets/subhojyoti1990/image-agent-styling,False
TIPO: Text to Image with Text Presampling for Prompt Optimization,https://arxiv.org/abs/2411.08127,2024-11,2024,2024-H2,L1,L1,Image,"Prompt, preference, and intent conditioning",Prompt expansion,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/KohakuBlueleaf/KGen,,True
DiffChat: Learning to Chat with Text-to-Image Synthesis Models,https://arxiv.org/abs/2403.04997,2024-03,2024,2024-H1,L1,L1,Image,"Prompt, preference, and intent conditioning",Instruction-conditioned prompt modification,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/alibaba/EasyNLP,,True
